id,timestamp,severity,alert_type,source_ip,destination_ip,protocol,description,threat_score,hybrid_score
1071,2026-03-04T11:25:09.119589,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1072,2026-03-04T11:25:09.133291,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1073,2026-03-04T11:25:15.967407,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1074,2026-03-04T11:25:15.975857,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1075,2026-03-04T11:25:15.982823,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1076,2026-03-04T11:25:21.321462,high,known_attack,172.16.7.231,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1077,2026-03-04T11:25:21.332281,high,known_attack,172.16.7.231,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1078,2026-03-04T11:25:21.343776,high,known_attack,172.16.7.231,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1079,2026-03-04T11:25:21.353838,high,known_attack,172.16.7.231,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1080,2026-03-04T11:25:21.365498,high,known_attack,172.16.7.231,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1081,2026-03-04T11:25:21.383801,high,known_attack,172.16.7.231,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1082,2026-03-04T11:25:29.681328,high,known_attack,172.16.7.231,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1083,2026-03-04T11:25:29.695107,high,known_attack,172.16.7.231,20.111.1.3,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1084,2026-03-04T11:25:29.716160,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1085,2026-03-04T11:25:29.778149,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1086,2026-03-04T11:25:29.795306,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1087,2026-03-04T11:25:29.809896,high,known_attack,172.16.7.231,20.42.65.94,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1088,2026-03-04T11:25:29.832315,high,known_attack,172.16.7.231,20.42.65.94,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1089,2026-03-04T11:25:29.863030,high,known_attack,172.16.7.231,20.42.65.94,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1090,2026-03-04T11:25:29.944429,high,known_attack,172.16.7.231,20.42.65.94,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1091,2026-03-04T11:25:29.964488,high,known_attack,172.16.7.231,20.42.65.94,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1092,2026-03-04T11:25:29.991150,high,known_attack,172.16.7.231,20.42.65.94,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1093,2026-03-04T11:25:40.257879,high,known_attack,10.7.3.229,255.255.255.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1094,2026-03-04T11:25:40.272415,high,known_attack,172.16.7.231,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1095,2026-03-04T11:25:40.294023,high,known_attack,172.16.7.231,20.42.65.94,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1096,2026-03-04T11:25:40.328262,high,known_attack,172.16.7.231,20.42.65.94,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1097,2026-03-04T11:25:50.843110,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1098,2026-03-04T11:25:50.863404,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1099,2026-03-04T11:25:50.907868,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1100,2026-03-04T11:25:50.924221,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1101,2026-03-04T11:25:50.947134,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1102,2026-03-04T11:25:50.980209,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1103,2026-03-04T11:25:51.000543,high,known_attack,172.16.6.90,255.255.255.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1104,2026-03-04T11:25:51.025149,high,known_attack,172.16.7.231,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1105,2026-03-04T11:26:02.686939,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1106,2026-03-04T11:26:02.698662,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1107,2026-03-04T11:26:02.709433,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1108,2026-03-04T11:26:02.721851,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1109,2026-03-04T11:26:02.747360,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1110,2026-03-04T11:26:02.766312,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1111,2026-03-04T11:26:02.784028,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1112,2026-03-04T11:26:02.799630,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1113,2026-03-04T11:26:02.816252,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1114,2026-03-04T11:26:02.832316,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1115,2026-03-04T11:26:02.847246,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1116,2026-03-04T11:26:05.182027,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1117,2026-03-04T11:26:05.191985,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1118,2026-03-04T11:26:15.288296,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1119,2026-03-04T11:26:15.296490,high,known_attack,172.16.6.233,172.16.7.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1120,2026-03-04T11:26:15.307129,high,known_attack,172.16.6.90,255.255.255.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1121,2026-03-04T11:26:15.320542,high,known_attack,172.16.7.231,13.245.134.200,TCP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6078312253990479
1122,2026-03-04T11:26:15.332132,high,known_attack,172.16.6.90,255.255.255.255,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.6054861296828946
1123,2026-03-04T11:26:15.363178,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1124,2026-03-04T11:26:15.378894,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
1125,2026-03-04T11:26:15.392613,high,known_attack,172.16.7.231,102.220.200.146,UDP,Signature-based detection: Sequential Port Scan (confidence: 0.85),0.85,0.5993948238984894
